ID_Registro,ID_Lote,ID_Local,Categoria,Producto,Stock_Unidades,Costo_Unitario_USD,Precio_Venta_USD,Fecha_Ingreso,Fecha_Vencimiento,RSL_Dias_Remanentes,Rotacion_Diaria_Promedio,Dias_Para_Agotar_Stock,Condicion_Almacenamiento,Tiempo_Transito_Horas,Costo_Transporte_Unit_USD,Alerta_Sistema_Predictivo,Accion_Control_Interno,Estado_Merma,Unidades_Mermadas,Valor_Merma_USD
REG-003369,LOT-2025-2488,POS-014,Consumo Masivo,Leche Entera Larga Vida 1L,97,0.68,0.96,2025-04-07,2026-11-23,66,4.85,20.0,Optima,3.9,0.256,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003370,LOT-2025-7085,POS-008,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,268,0.24,0.8,2026-02-24,2027-03-28,191,6.14,43.6,Optima,1.9,0.136,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003371,LOT-2025-8018,POS-015,Consumo Masivo,Snack Papas Fritas 150g,45,0.4,0.84,2026-08-24,2027-01-22,126,4.17,10.8,Optima,3.5,0.23,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003372,LOT-2025-9200,POS-020,Farmacia/Medicamentos,Amoxicilina 500mg Cap,217,0.78,2.17,2025-04-26,2026-09-29,11,14.58,14.9,Optima,3.8,0.248,Riesgo Inminente: Descuento / Remate,Sin Acción,Merma Parcial,117,91.26
REG-003373,LOT-2025-4359,POS-013,Farmacia/Medicamentos,Omeprazol 20mg Cap,134,0.48,1.48,2025-11-01,2027-02-13,148,1.22,108.9,Optima,4.2,0.271,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003374,LOT-2025-2909,POS-011,Farmacia/Medicamentos,Omeprazol 20mg Cap,117,0.49,1.5,2025-10-01,2027-01-28,132,3.19,36.6,Desviación Crítica,1.7,0.121,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003375,LOT-2025-1271,POS-012,Agroquímicos,Mancozeb 80% WP 1Kg,296,2.84,6.16,2026-05-14,2027-12-14,452,12.64,23.4,Optima,2.5,0.173,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003376,LOT-2025-8184,POS-001,Consumo Masivo,Snack Papas Fritas 150g,16,0.41,0.86,2026-06-19,2026-12-09,82,9.85,1.6,Desviación Menor,1.6,0.119,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003377,LOT-2025-5693,POS-018,Farmacia/Medicamentos,Paracetamol 500mg Tab,59,0.14,0.44,2025-09-21,2026-09-14,-4,14.88,4.0,Optima,6.0,0.383,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,59,8.26
REG-003378,LOT-2025-2617,POS-001,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,212,0.25,0.79,2025-06-28,2026-10-22,34,13.31,15.9,Optima,4.6,0.298,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003379,LOT-2025-9031,POS-022,Consumo Masivo,Galletas Integrales 200g,119,0.49,1.09,2026-06-20,2027-01-10,114,1.58,74.8,Optima,5.9,0.372,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003380,LOT-2025-9805,POS-006,Consumo Masivo,Galletas Integrales 200g,118,0.52,1.09,2026-04-16,2026-11-22,65,10.3,11.4,Optima,5.4,0.343,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003381,LOT-2025-2628,POS-013,Farmacia/Medicamentos,Vitamina C 1000mg Comp,133,0.35,1.11,2025-03-03,2026-10-11,23,1.3,101.5,Optima,3.2,0.21,Alerta Temprana: Redistribución Sugerida,Redistribuido a POS Alto Tráfico,Sin Merma,0,0.0
REG-003382,LOT-2025-7381,POS-003,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,186,0.25,0.79,2025-11-20,2026-12-05,78,0.6,304.9,Optima,5.4,0.343,Alerta Temprana: Redistribución Sugerida,Redistribuido a POS Alto Tráfico,Sin Merma,0,0.0
REG-003383,LOT-2025-7355,POS-017,Agroquímicos,Mancozeb 80% WP 1Kg,271,2.81,6.16,2025-11-11,2027-03-05,168,10.34,26.2,Optima,5.6,0.355,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003384,LOT-2025-8655,POS-015,Farmacia/Medicamentos,Vitamina C 1000mg Comp,79,0.35,1.09,2025-11-20,2026-12-27,100,12.62,6.3,Desviación Crítica,2.3,0.158,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003385,LOT-2025-2417,POS-015,Farmacia/Medicamentos,Vitamina C 1000mg Comp,159,0.36,1.11,2025-03-19,2026-10-02,14,14.35,11.1,Optima,5.0,0.32,Riesgo Inminente: Descuento / Remate,Promoción Aplicada,Sin Merma,0,0.0
REG-003386,LOT-2025-8336,POS-017,Farmacia/Medicamentos,Omeprazol 20mg Cap,216,0.52,1.48,2026-04-14,2027-08-15,331,6.02,35.8,Optima,5.6,0.358,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003387,LOT-2025-4974,POS-008,Farmacia/Medicamentos,Amoxicilina 500mg Cap,43,0.84,2.19,2026-07-15,2027-02-10,145,6.08,7.1,Optima,4.9,0.316,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003388,LOT-2025-7788,POS-003,Agroquímicos,Fertilizante Foliar 1L,271,2.09,4.92,2025-09-14,2026-12-15,88,5.77,46.9,Optima,1.4,0.106,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003389,LOT-2025-3007,POS-025,Farmacia/Medicamentos,Paracetamol 500mg Tab,110,0.16,0.46,2025-12-29,2026-11-03,46,8.41,13.1,Optima,0.3,0.041,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003390,LOT-2025-3075,POS-009,Farmacia/Medicamentos,Omeprazol 20mg Cap,175,0.48,1.48,2025-12-29,2027-01-01,105,9.59,18.2,Optima,5.2,0.329,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003391,LOT-2025-3185,POS-010,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,122,0.25,0.8,2026-08-01,2027-09-26,373,10.38,11.7,Optima,0.3,0.04,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003392,LOT-2025-6092,POS-021,Consumo Masivo,Snack Papas Fritas 150g,209,0.39,0.86,2025-11-01,2026-09-03,-15,11.15,18.7,Optima,4.4,0.284,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,209,81.51
REG-003393,LOT-2025-7363,POS-012,Agroquímicos,Fertilizante Foliar 1L,199,2.08,5.05,2025-08-06,2027-07-11,296,5.94,33.4,Optima,1.5,0.11,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003394,LOT-2025-7683,POS-021,Farmacia/Medicamentos,Paracetamol 500mg Tab,143,0.15,0.45,2025-09-15,2026-11-10,53,4.59,31.1,Desviación Menor,0.3,0.041,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003395,LOT-2025-8462,POS-010,Consumo Masivo,Snack Papas Fritas 150g,106,0.4,0.85,2026-01-20,2027-01-14,118,8.36,12.7,Optima,3.5,0.233,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003396,LOT-2025-1565,POS-017,Farmacia/Medicamentos,Omeprazol 20mg Cap,292,0.48,1.47,2026-04-13,2027-01-06,110,7.31,39.9,Optima,0.4,0.044,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003397,LOT-2025-2630,POS-001,Consumo Masivo,Leche Entera Larga Vida 1L,230,0.63,0.94,2026-02-21,2026-10-17,29,8.82,26.0,Optima,4.3,0.277,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003398,LOT-2025-1435,POS-010,Agroquímicos,Mancozeb 80% WP 1Kg,291,2.82,6.16,2025-06-13,2026-09-07,-11,13.16,22.1,Optima,1.1,0.089,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,291,820.62
REG-003399,LOT-2025-9122,POS-017,Agroquímicos,Insecticida Cyper 200 EC 1L,81,4.11,11.22,2025-11-27,2027-08-29,345,9.32,8.7,Optima,3.4,0.221,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003400,LOT-2025-8629,POS-002,Farmacia/Medicamentos,Paracetamol 500mg Tab,95,0.15,0.45,2026-06-09,2028-02-23,523,2.57,36.8,Optima,2.1,0.144,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003401,LOT-2025-5058,POS-020,Farmacia/Medicamentos,Vitamina C 1000mg Comp,205,0.35,1.12,2025-02-13,2026-11-22,65,13.73,14.9,Optima,5.8,0.368,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003402,LOT-2025-4486,POS-005,Farmacia/Medicamentos,Amoxicilina 500mg Cap,199,0.78,2.19,2026-06-24,2027-03-26,189,3.64,54.5,Desviación Crítica,3.4,0.226,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003403,LOT-2025-7015,POS-010,Consumo Masivo,Bebida Energizante 500ml,21,0.67,1.48,2025-11-10,2026-12-22,95,2.61,8.0,Optima,3.0,0.203,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003404,LOT-2025-6535,POS-007,Consumo Masivo,Galletas Integrales 200g,25,0.49,1.1,2026-06-01,2026-11-21,64,12.46,2.0,Desviación Menor,2.6,0.177,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003405,LOT-2025-8758,POS-021,Agroquímicos,Glifosato 480 SL 1L,222,3.44,8.44,2026-06-14,2027-09-26,373,0.7,312.7,Optima,4.1,0.266,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003406,LOT-2025-9586,POS-024,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,30,0.26,0.8,2026-02-12,2026-09-26,8,1.64,18.2,Optima,5.3,0.337,Riesgo Inminente: Descuento / Remate,Promoción Aplicada,Sin Merma,0,0.0
REG-003407,LOT-2025-7155,POS-007,Farmacia/Medicamentos,Omeprazol 20mg Cap,298,0.48,1.48,2025-10-06,2026-08-20,-29,4.03,73.8,Optima,2.1,0.147,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,298,143.04
REG-003408,LOT-2025-1730,POS-004,Agroquímicos,Glifosato 480 SL 1L,142,3.52,8.37,2026-06-19,2028-03-31,560,10.36,13.7,Optima,0.9,0.077,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003409,LOT-2025-3874,POS-008,Consumo Masivo,Bebida Energizante 500ml,115,0.72,1.5,2025-04-15,2026-11-24,67,2.89,39.7,Optima,4.0,0.262,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003410,LOT-2025-3934,POS-010,Consumo Masivo,Galletas Integrales 200g,89,0.51,1.11,2025-03-09,2026-11-19,62,4.81,18.5,Optima,0.7,0.064,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003411,LOT-2025-2605,POS-021,Farmacia/Medicamentos,Amoxicilina 500mg Cap,26,0.8,2.16,2025-11-25,2026-12-19,92,12.93,2.0,Optima,4.3,0.278,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003412,LOT-2025-5291,POS-013,Agroquímicos,Insecticida Cyper 200 EC 1L,271,4.35,10.83,2026-07-22,2027-12-30,468,9.57,28.3,Optima,2.7,0.18,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003413,LOT-2025-2615,POS-024,Farmacia/Medicamentos,Amoxicilina 500mg Cap,289,0.82,2.24,2026-03-26,2026-12-29,102,11.91,24.2,Optima,3.1,0.207,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003414,LOT-2025-4455,POS-005,Agroquímicos,Glifosato 480 SL 1L,105,3.51,8.56,2026-02-20,2028-04-06,566,7.1,14.8,Desviación Menor,4.9,0.314,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003415,LOT-2025-3943,POS-023,Farmacia/Medicamentos,Amoxicilina 500mg Cap,72,0.82,2.19,2026-05-05,2027-01-13,117,6.08,11.8,Optima,1.0,0.082,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003416,LOT-2025-8159,POS-020,Consumo Masivo,Leche Entera Larga Vida 1L,59,0.62,0.94,2025-03-19,2026-10-10,22,10.61,5.6,Optima,3.5,0.228,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003417,LOT-2025-2699,POS-006,Farmacia/Medicamentos,Vitamina C 1000mg Comp,110,0.36,1.08,2026-04-04,2027-06-05,260,13.04,8.4,Optima,4.7,0.299,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003418,LOT-2025-3586,POS-008,Farmacia/Medicamentos,Paracetamol 500mg Tab,69,0.15,0.45,2026-01-28,2026-12-24,97,4.92,14.0,Optima,5.9,0.374,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003419,LOT-2025-8587,POS-013,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,271,0.24,0.78,2026-06-02,2027-09-29,376,12.27,22.1,Optima,4.3,0.281,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003420,LOT-2025-6913,POS-025,Farmacia/Medicamentos,Vitamina C 1000mg Comp,221,0.36,1.12,2025-07-20,2026-08-23,-26,8.08,27.3,Desviación Menor,6.2,0.391,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,221,79.56
REG-003421,LOT-2025-5159,POS-009,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,281,0.26,0.8,2025-10-06,2026-11-10,53,3.73,75.1,Optima,2.6,0.174,Alerta Temprana: Redistribución Sugerida,Promoción Aplicada,Sin Merma,0,0.0
REG-003422,LOT-2025-9532,POS-005,Consumo Masivo,Leche Entera Larga Vida 1L,140,0.68,0.94,2025-07-09,2027-01-14,118,8.9,15.7,Optima,1.0,0.079,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003423,LOT-2025-6716,POS-004,Consumo Masivo,Snack Papas Fritas 150g,233,0.42,0.84,2025-05-12,2026-12-11,84,14.29,16.3,Optima,5.5,0.349,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003424,LOT-2025-5377,POS-012,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,114,0.26,0.81,2026-07-09,2027-09-23,370,12.95,8.8,Optima,5.8,0.37,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003425,LOT-2025-2163,POS-014,Consumo Masivo,Galletas Integrales 200g,85,0.48,1.1,2025-08-15,2026-10-24,36,14.37,5.9,Optima,3.1,0.207,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003426,LOT-2025-6910,POS-008,Consumo Masivo,Bebida Energizante 500ml,162,0.67,1.52,2026-01-03,2026-11-11,54,8.75,18.5,Optima,3.6,0.234,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003427,LOT-2025-3408,POS-014,Consumo Masivo,Bebida Energizante 500ml,102,0.7,1.51,2025-09-04,2026-11-17,60,4.77,21.3,Optima,1.4,0.107,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003428,LOT-2025-2976,POS-003,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,288,0.25,0.79,2025-04-10,2026-09-25,7,2.03,141.2,Optima,3.4,0.221,Riesgo Inminente: Descuento / Remate,Redistribuido a POS Alto Tráfico,Sin Merma,0,0.0
REG-003429,LOT-2025-4639,POS-010,Agroquímicos,Fertilizante Foliar 1L,280,2.2,5.01,2025-08-31,2027-08-28,344,0.14,1866.7,Optima,2.8,0.186,Alerta Temprana: Redistribución Sugerida,Redistribuido a POS Alto Tráfico,Sin Merma,0,0.0
REG-003430,LOT-2025-1592,POS-001,Agroquímicos,Fertilizante Foliar 1L,48,2.15,4.93,2025-08-19,2026-09-16,-2,11.58,4.1,Optima,6.1,0.386,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,48,103.2
REG-003431,LOT-2025-6905,POS-016,Farmacia/Medicamentos,Paracetamol 500mg Tab,213,0.15,0.45,2025-11-14,2027-04-25,219,4.76,44.7,Optima,6.0,0.383,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003432,LOT-2025-7991,POS-009,Consumo Masivo,Galletas Integrales 200g,251,0.49,1.11,2026-02-14,2026-09-03,-15,14.96,16.8,Optima,4.4,0.286,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,251,122.99
REG-003433,LOT-2025-6144,POS-004,Agroquímicos,Mancozeb 80% WP 1Kg,298,2.87,6.3,2026-01-05,2027-07-22,307,5.52,53.9,Optima,3.2,0.213,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003434,LOT-2025-5973,POS-001,Consumo Masivo,Snack Papas Fritas 150g,251,0.4,0.84,2026-04-25,2026-11-29,72,8.96,28.0,Optima,4.0,0.262,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003435,LOT-2025-9970,POS-008,Farmacia/Medicamentos,Amoxicilina 500mg Cap,259,0.81,2.23,2026-08-09,2027-04-15,209,1.8,143.1,Optima,3.7,0.24,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003436,LOT-2025-1005,POS-020,Farmacia/Medicamentos,Paracetamol 500mg Tab,47,0.15,0.45,2025-09-04,2027-07-27,312,9.6,4.9,Optima,2.3,0.157,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003437,LOT-2025-6852,POS-023,Farmacia/Medicamentos,Amoxicilina 500mg Cap,144,0.8,2.22,2025-12-15,2026-09-12,-6,12.39,11.6,Optima,4.2,0.271,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,144,115.2
REG-003438,LOT-2025-4021,POS-004,Farmacia/Medicamentos,Paracetamol 500mg Tab,49,0.15,0.44,2026-04-17,2027-11-15,423,0.52,92.5,Optima,1.7,0.121,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003439,LOT-2025-5397,POS-003,Farmacia/Medicamentos,Amoxicilina 500mg Cap,53,0.78,2.22,2026-08-18,2027-05-04,228,4.51,11.7,Optima,5.2,0.332,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003440,LOT-2025-6666,POS-024,Agroquímicos,Insecticida Cyper 200 EC 1L,82,4.03,10.84,2025-02-12,2026-12-05,78,0.37,215.8,Desviación Menor,4.2,0.274,Alerta Temprana: Redistribución Sugerida,Redistribuido a POS Alto Tráfico,Sin Merma,0,0.0
REG-003441,LOT-2025-9955,POS-008,Consumo Masivo,Galletas Integrales 200g,159,0.51,1.09,2026-07-29,2026-12-09,82,14.16,11.2,Optima,2.4,0.164,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003442,LOT-2025-7808,POS-012,Farmacia/Medicamentos,Paracetamol 500mg Tab,11,0.15,0.45,2026-01-16,2027-08-05,321,6.5,1.7,Optima,3.0,0.197,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003443,LOT-2025-2556,POS-002,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,171,0.25,0.81,2025-08-10,2026-10-28,40,5.22,32.7,Desviación Menor,3.7,0.24,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003444,LOT-2025-4107,POS-016,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,93,0.26,0.8,2025-07-19,2026-11-07,50,4.5,20.6,Desviación Menor,6.1,0.385,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003445,LOT-2025-6700,POS-022,Consumo Masivo,Leche Entera Larga Vida 1L,214,0.63,0.96,2025-02-11,2026-12-24,97,9.26,23.1,Optima,2.6,0.179,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003446,LOT-2025-3729,POS-003,Consumo Masivo,Leche Entera Larga Vida 1L,202,0.65,0.94,2025-04-15,2027-01-04,108,14.89,13.6,Optima,1.3,0.098,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003447,LOT-2025-3700,POS-013,Agroquímicos,Mancozeb 80% WP 1Kg,246,2.67,6.2,2025-03-06,2026-12-24,97,11.64,21.1,Optima,5.4,0.346,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003448,LOT-2025-4012,POS-017,Agroquímicos,Fertilizante Foliar 1L,75,2.02,5.09,2026-08-29,2028-04-16,576,0.87,85.2,Optima,5.3,0.338,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003449,LOT-2025-2540,POS-022,Farmacia/Medicamentos,Vitamina C 1000mg Comp,85,0.36,1.1,2025-08-09,2027-01-29,133,11.44,7.4,Optima,2.2,0.155,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003450,LOT-2025-7305,POS-023,Farmacia/Medicamentos,Vitamina C 1000mg Comp,202,0.36,1.09,2025-05-28,2026-10-31,43,10.69,18.9,Optima,4.7,0.304,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003451,LOT-2025-3633,POS-009,Farmacia/Medicamentos,Amoxicilina 500mg Cap,235,0.78,2.24,2025-09-25,2026-12-17,90,9.08,25.9,Optima,5.0,0.319,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003452,LOT-2025-2540,POS-019,Consumo Masivo,Galletas Integrales 200g,295,0.48,1.12,2025-11-01,2026-12-06,79,0.29,983.3,Optima,1.2,0.091,Alerta Temprana: Redistribución Sugerida,Promoción Aplicada,Sin Merma,0,0.0
REG-003453,LOT-2025-7876,POS-025,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,256,0.24,0.8,2026-05-10,2028-03-30,559,7.87,32.5,Optima,4.8,0.309,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003454,LOT-2025-8405,POS-008,Consumo Masivo,Bebida Energizante 500ml,145,0.68,1.47,2026-08-15,2027-04-05,199,10.81,13.4,Optima,6.2,0.391,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003455,LOT-2025-5590,POS-019,Farmacia/Medicamentos,Amoxicilina 500mg Cap,119,0.79,2.23,2025-06-09,2026-12-19,92,4.02,29.5,Desviación Menor,6.0,0.383,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003456,LOT-2025-7319,POS-007,Consumo Masivo,Snack Papas Fritas 150g,289,0.38,0.85,2025-09-30,2026-12-26,99,4.52,63.8,Optima,5.7,0.361,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003457,LOT-2025-4409,POS-021,Agroquímicos,Insecticida Cyper 200 EC 1L,64,4.31,10.92,2026-01-29,2027-11-29,437,14.39,4.4,Optima,2.5,0.168,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003458,LOT-2025-9019,POS-003,Farmacia/Medicamentos,Amoxicilina 500mg Cap,295,0.8,2.19,2025-10-21,2026-10-24,36,7.15,41.2,Optima,1.4,0.106,Alerta Temprana: Redistribución Sugerida,Redistribuido a POS Alto Tráfico,Sin Merma,0,0.0
REG-003459,LOT-2025-2622,POS-006,Consumo Masivo,Galletas Integrales 200g,226,0.5,1.12,2025-05-31,2026-12-20,93,12.55,18.0,Optima,1.1,0.089,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003460,LOT-2025-7848,POS-022,Consumo Masivo,Galletas Integrales 200g,136,0.52,1.12,2025-09-10,2026-09-19,1,1.51,89.5,Optima,5.1,0.328,Riesgo Inminente: Descuento / Remate,Promoción Aplicada,Sin Merma,0,0.0
REG-003461,LOT-2025-8894,POS-004,Consumo Masivo,Galletas Integrales 200g,132,0.5,1.08,2026-01-06,2026-09-28,10,5.12,25.7,Desviación Menor,5.4,0.343,Riesgo Inminente: Descuento / Remate,Sin Acción,Merma Parcial,84,42.0
REG-003462,LOT-2025-7080,POS-003,Consumo Masivo,Bebida Energizante 500ml,95,0.71,1.51,2025-10-21,2026-09-30,12,10.03,9.5,Optima,2.6,0.174,Riesgo Inminente: Descuento / Remate,Redistribuido a POS Alto Tráfico,Sin Merma,0,0.0
REG-003463,LOT-2025-8571,POS-012,Agroquímicos,Fertilizante Foliar 1L,231,2.05,5.04,2025-07-31,2026-12-03,76,8.49,27.2,Desviación Menor,4.3,0.277,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003464,LOT-2025-8775,POS-017,Farmacia/Medicamentos,Omeprazol 20mg Cap,279,0.51,1.47,2025-03-28,2026-09-03,-15,12.53,22.2,Optima,0.8,0.07,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,279,142.29
REG-003465,LOT-2025-7445,POS-008,Consumo Masivo,Snack Papas Fritas 150g,69,0.39,0.86,2026-07-24,2026-09-27,9,12.0,5.7,Desviación Menor,0.9,0.072,Riesgo Inminente: Descuento / Remate,Redistribuido a POS Alto Tráfico,Sin Merma,0,0.0
REG-003466,LOT-2025-7553,POS-008,Farmacia/Medicamentos,Amoxicilina 500mg Cap,263,0.83,2.18,2025-05-10,2026-12-31,104,4.83,54.3,Optima,3.0,0.203,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003467,LOT-2025-4949,POS-014,Consumo Masivo,Galletas Integrales 200g,49,0.49,1.1,2026-02-21,2026-09-03,-15,2.26,21.6,Optima,4.4,0.283,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,49,24.01
REG-003468,LOT-2025-4622,POS-025,Agroquímicos,Insecticida Cyper 200 EC 1L,153,4.17,10.87,2026-04-11,2026-11-25,68,10.64,14.4,Desviación Menor,3.9,0.251,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003469,LOT-2025-5850,POS-013,Consumo Masivo,Galletas Integrales 200g,296,0.52,1.1,2025-10-27,2026-09-30,12,11.98,24.7,Optima,5.7,0.361,Riesgo Inminente: Descuento / Remate,Promoción Aplicada,Sin Merma,0,0.0
REG-003470,LOT-2025-1649,POS-006,Agroquímicos,Mancozeb 80% WP 1Kg,222,2.78,6.1,2025-11-09,2027-02-19,154,5.66,39.2,Optima,3.4,0.224,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003471,LOT-2025-4527,POS-010,Farmacia/Medicamentos,Amoxicilina 500mg Cap,48,0.83,2.2,2026-07-23,2027-04-27,221,7.03,6.8,Optima,1.6,0.113,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-003472,LOT-2025-6152,POS-021,Agroquímicos,Fertilizante Foliar 1L,33,2.03,5.07,2025-05-12,2027-06-10,265,2.44,13.5,Optima,0.4,0.042,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
